"Date","Candidate","AverageScore"
"2024-05-14T00:00:00Z","Biden","41.9"
"2024-05-14T00:00:00Z","Trump","43.53"
"2024-05-14T00:00:00Z","Kennedy","8.8"
"2024-05-15T00:00:00Z","Biden","39.83"
"2024-05-15T00:00:00Z","Trump","43"
"2024-05-15T00:00:00Z","Kennedy","13.53"
"2024-05-16T00:00:00Z","Biden","41.13"
"2024-05-16T00:00:00Z","Trump","43.64"
"2024-05-16T00:00:00Z","Kennedy","10"
"2024-05-17T00:00:00Z","Biden","42.5"
"2024-05-17T00:00:00Z","Trump","44"
"2024-05-17T00:00:00Z","Kennedy","12.33"
"2024-05-18T00:00:00Z","Biden","43"
"2024-05-18T00:00:00Z","Trump","44"
"2024-05-19T00:00:00Z","Biden","40.91"
"2024-05-19T00:00:00Z","Trump","42.78"
"2024-05-19T00:00:00Z","Kennedy","7.56"
"2024-05-20T00:00:00Z","Biden","44"
"2024-05-20T00:00:00Z","Trump","45"
"2024-05-20T00:00:00Z","Kennedy","5"
"2024-05-21T00:00:00Z","Biden","40.74"
"2024-05-21T00:00:00Z","Trump","44.63"
"2024-05-21T00:00:00Z","Kennedy","7.63"
"2024-05-22T00:00:00Z","Biden","41.33"
"2024-05-22T00:00:00Z","Trump","43.67"
"2024-05-22T00:00:00Z","Kennedy","9"
"2024-05-23T00:00:00Z","Biden","43.2"
"2024-05-23T00:00:00Z","Trump","43.35"
"2024-05-23T00:00:00Z","Kennedy","10.55"
"2024-05-24T00:00:00Z","Biden","40.75"
"2024-05-24T00:00:00Z","Trump","41.75"
"2024-05-24T00:00:00Z","Kennedy","9"
"2024-05-25T00:00:00Z","Biden","41.5"
"2024-05-25T00:00:00Z","Trump","42.5"
"2024-05-25T00:00:00Z","Kennedy","4"
"2024-05-26T00:00:00Z","Biden","42"
"2024-05-26T00:00:00Z","Trump","44"
"2024-05-27T00:00:00Z","Biden","42"
"2024-05-27T00:00:00Z","Trump","44"
"2024-05-28T00:00:00Z","Biden","42.73"
"2024-05-28T00:00:00Z","Trump","45.56"
"2024-05-28T00:00:00Z","Kennedy","7.9"
"2024-05-29T00:00:00Z","Biden","40.75"
"2024-05-29T00:00:00Z","Trump","43.33"
"2024-05-29T00:00:00Z","Kennedy","9.5"
"2024-05-30T00:00:00Z","Biden","41.47"
"2024-05-30T00:00:00Z","Trump","42.77"
"2024-05-30T00:00:00Z","Kennedy","10"
"2024-05-31T00:00:00Z","Biden","42.5"
"2024-05-31T00:00:00Z","Trump","45"
"2024-05-31T00:00:00Z","Kennedy","8"
"2024-06-01T00:00:00Z","Biden","42.88"
"2024-06-01T00:00:00Z","Trump","45.17"
"2024-06-01T00:00:00Z","Kennedy","7.75"
"2024-06-02T00:00:00Z","Biden","42.5"
"2024-06-02T00:00:00Z","Trump","43"
"2024-06-02T00:00:00Z","Kennedy","3"
"2024-06-03T00:00:00Z","Biden","43.58"
"2024-06-03T00:00:00Z","Trump","44.9"
"2024-06-03T00:00:00Z","Kennedy","4.43"
"2024-06-04T00:00:00Z","Biden","41.08"
"2024-06-04T00:00:00Z","Trump","44.03"
"2024-06-04T00:00:00Z","Kennedy","11.43"
"2024-06-05T00:00:00Z","Biden","42.28"
"2024-06-05T00:00:00Z","Trump","43.9"
"2024-06-05T00:00:00Z","Kennedy","10.4"
"2024-06-06T00:00:00Z","Biden","44"
"2024-06-06T00:00:00Z","Trump","45"
"2024-06-07T00:00:00Z","Biden","41.2"
"2024-06-07T00:00:00Z","Trump","43.42"
"2024-06-07T00:00:00Z","Kennedy","8.57"
"2024-06-08T00:00:00Z","Biden","40.55"
"2024-06-08T00:00:00Z","Trump","43.7"
"2024-06-08T00:00:00Z","Kennedy","7.13"
"2024-06-09T00:00:00Z","Biden","40.8"
"2024-06-09T00:00:00Z","Trump","43.6"
"2024-06-09T00:00:00Z","Kennedy","6.33"
"2024-06-10T00:00:00Z","Biden","42"
"2024-06-10T00:00:00Z","Trump","44"
"2024-06-10T00:00:00Z","Kennedy","9"
"2024-06-11T00:00:00Z","Biden","40.13"
"2024-06-11T00:00:00Z","Trump","43.98"
"2024-06-11T00:00:00Z","Kennedy","7.15"
"2024-06-12T00:00:00Z","Biden","40.43"
"2024-06-12T00:00:00Z","Trump","42.88"
"2024-06-12T00:00:00Z","Kennedy","9"
"2024-06-13T00:00:00Z","Biden","40.85"
"2024-06-13T00:00:00Z","Trump","43.1"
"2024-06-13T00:00:00Z","Kennedy","6.19"
"2024-06-14T00:00:00Z","Biden","44.25"
"2024-06-14T00:00:00Z","Trump","44.4"
"2024-06-14T00:00:00Z","Kennedy","7"
"2024-06-15T00:00:00Z","Biden","44"
"2024-06-15T00:00:00Z","Trump","43"
"2024-06-16T00:00:00Z","Biden","42"
"2024-06-16T00:00:00Z","Trump","42.33"
"2024-06-16T00:00:00Z","Kennedy","5.5"
"2024-06-17T00:00:00Z","Biden","42.58"
"2024-06-17T00:00:00Z","Trump","43.5"
"2024-06-17T00:00:00Z","Kennedy","10.5"
"2024-06-18T00:00:00Z","Biden","41.33"
"2024-06-18T00:00:00Z","Trump","44"
"2024-06-18T00:00:00Z","Kennedy","10"
"2024-06-19T00:00:00Z","Biden","43"
"2024-06-19T00:00:00Z","Trump","44.33"
"2024-06-19T00:00:00Z","Kennedy","8"
"2024-06-20T00:00:00Z","Biden","41.83"
"2024-06-20T00:00:00Z","Trump","43.75"
"2024-06-20T00:00:00Z","Kennedy","8.6"
"2024-06-21T00:00:00Z","Biden","42.33"
"2024-06-21T00:00:00Z","Trump","43"
"2024-06-21T00:00:00Z","Kennedy","10"
"2024-06-22T00:00:00Z","Biden","41.33"
"2024-06-22T00:00:00Z","Trump","42.5"
"2024-06-22T00:00:00Z","Kennedy","7"
"2024-06-23T00:00:00Z","Biden","42.5"
"2024-06-23T00:00:00Z","Trump","43"
"2024-06-23T00:00:00Z","Kennedy","4"
"2024-06-24T00:00:00Z","Biden","44"
"2024-06-24T00:00:00Z","Trump","43"
"2024-06-25T00:00:00Z","Biden","42.5"
"2024-06-25T00:00:00Z","Trump","44.5"
"2024-06-25T00:00:00Z","Kennedy","7"
"2024-06-26T00:00:00Z","Biden","41.26"
"2024-06-26T00:00:00Z","Trump","42.1"
"2024-06-26T00:00:00Z","Kennedy","9.1"
"2024-06-27T00:00:00Z","Biden","40.6"
"2024-06-27T00:00:00Z","Trump","44.14"
"2024-06-27T00:00:00Z","Kennedy","9.33"
"2024-06-28T00:00:00Z","Biden","40.87"
"2024-06-28T00:00:00Z","Trump","44.64"
"2024-06-28T00:00:00Z","Kennedy","10.61"
"2024-06-29T00:00:00Z","Biden","41.31"
"2024-06-29T00:00:00Z","Trump","44.7"
"2024-06-29T00:00:00Z","Kennedy","9.33"
"2024-06-30T00:00:00Z","Biden","42.33"
"2024-06-30T00:00:00Z","Trump","45.56"
"2024-06-30T00:00:00Z","Kennedy","5"
"2024-07-01T00:00:00Z","Biden","41.73"
"2024-07-01T00:00:00Z","Trump","43.22"
"2024-07-01T00:00:00Z","Kennedy","7.34"
"2024-07-02T00:00:00Z","Biden","42"
"2024-07-02T00:00:00Z","Trump","41.5"
"2024-07-03T00:00:00Z","Biden","43"
"2024-07-03T00:00:00Z","Trump","44"
"2024-07-04T00:00:00Z","Biden","42"
"2024-07-04T00:00:00Z","Trump","44"
"2024-07-05T00:00:00Z","Biden","42"
"2024-07-05T00:00:00Z","Trump","44"
"2024-07-07T00:00:00Z","Biden","39.9"
"2024-07-07T00:00:00Z","Trump","47.04"
"2024-07-07T00:00:00Z","Kennedy","6.1"
